All data are per superstep
#Border Thickness, Send Gap, Recv Gap, Com validation gap, total, runtime
DATA,50
b3,5.445125446255238e-05,5.060742934419048e-06,1.9812102740011905e-06,6.149320767097262e-05,54.60995548567735
b4,7.240782817084821e-05,5.329418594806547e-06,2.3631065333675595e-06,8.010035329902232e-05,54.80569360055961
b5,8.382618460538573e-05,5.996077033200001e-06,3.668020335247619e-06,9.349028197383335e-05,55.0573693998158
b6,9.535610960379582e-05,6.340165984745832e-06,2.8179479866395835e-06,0.00010451422357518123,55.30344631080516
b7,0.00010961474303805715,6.6592439358476195e-06,3.5012366309285714e-06,0.00011977522360483334,55.15577510348521
b8,0.00012265186274558034,7.0021521033589294e-06,4.094586308513393e-06,0.00013374860115745264,55.232146728085354
b9,0.0001354444853310714,7.905382921726191e-06,6.967044938059524e-06,0.0001503169131908571,55.5226923446171
DATA,1500
b0,1.3777605694024404e-05,4.405012568606548e-06,2.0597365662632937e-06,2.0242354828894244e-05,62.6806570654735
b1,3.029909881112857e-05,4.827899170949999e-06,2.3187239772625e-06,3.744572195934107e-05,62.89825600362383
b2,4.655562973181786e-05,4.928709018889286e-06,1.8527207430452382e-06,5.333705949375238e-05,62.97932269400917
b3,6.696296142532381e-05,5.1891948613809515e-06,3.3935480233694445e-06,7.55457043100742e-05,63.37637786241248
b4,8.473645467014882e-05,5.427278145877976e-06,2.637461644582837e-06,9.280119446060964e-05,63.757089882623404
b5,0.00010036517078768573,6.039040939264285e-06,4.172021068544048e-06,0.00011057623279549406,63.49144309433177
b6,0.00011418069415310835,6.465718615795833e-06,4.067685222252778e-06,0.00012471409799115696,63.507359113544226
b7,0.00013020007191078098,6.710678072914286e-06,6.64995288446746e-06,0.00014356070286816272,63.75598763138987
b8,0.00014572750411136247,7.209200910953571e-06,5.194366011501786e-06,0.00015813107103381785,63.800641424488276
b9,0.00016474218610375,7.964368532619047e-06,6.681583481767858e-06,0.00017938813811813693,64.02521437127143
DATA,1750
b0,1.5901027724058332e-05,4.448710075978571e-06,3.271086865829068e-06,2.362082466586597e-05,66.22350705647841
b1,3.3410292650973815e-05,4.7996736294238095e-06,1.3649951489198414e-06,3.957496142931746e-05,67.02278434368782
b2,5.453545045817143e-05,5.023674817666072e-06,2.6983591461824404e-06,6.225748442201994e-05,66.52144376607612
b3,7.95846581385143e-05,5.140138923057143e-06,3.231530048189683e-06,8.795632710976114e-05,66.80396547494456
b4,9.955591725422619e-05,5.458840095104167e-06,3.804856937171627e-06,0.000108819614286502,66.90388050372712
b5,0.00011561698075163572,6.105579502328572e-06,3.382760942691667e-06,0.00012510532119665594,67.23076228774153
b6,0.00013401852985327916,6.755658735845833e-06,3.6717825827916665e-06,0.00014444597117191667,67.12307437183335
b7,0.00015479952156068568,6.86399594304762e-06,5.6897711363571434e-06,0.00016735328864009045,67.22454646974802
b8,0.00016719354981822854,7.398804051032144e-06,5.302341222497322e-06,0.00017989469509175802,67.56890991330147
b9,0.00019413722209660715,7.857638780714287e-06,8.958779896299601e-06,0.00021095364077362104,67.8751350804232
DATA,2000
b0,1.610249039783512e-05,4.500388130841666e-06,1.1579826980502975e-06,2.176086122672708e-05,68.04278000746854
b1,3.584758840530953e-05,4.776070700097619e-06,1.7563441938291664e-06,4.2380003299236316e-05,67.42271128552966
b2,6.315728948851071e-05,5.044351841903572e-06,1.657772476652381e-06,6.985941380706665e-05,68.08174453582615
b3,9.279502260069524e-05,5.235319720609524e-06,1.999447196130952e-06,0.00010002978951743571,68.51522818673402
b4,0.0001150016674757143,5.518114434479167e-06,2.1863277883283732e-06,0.00012270610969852185,68.81302352249622
b5,0.00013652657369329284,6.256376703578572e-06,2.219326727624405e-06,0.0001450022771244958,68.37416980741546
b6,0.00015449682638667082,6.787639318250001e-06,2.015092306666667e-06,0.00016329955801158748,68.81882939557545
b7,0.0001804514488737524,7.013085904304763e-06,2.0711815782952385e-06,0.0001895357163563524,69.56392331467941
b8,0.000199375605110925,7.345282106764287e-06,2.4838655787919643e-06,0.00020920475279648126,69.15152125060558
b9,0.00023447781928720237,7.940976444464285e-06,6.900624453371032e-06,0.00024931942018503766,69.02508413977921
DATA,2250
b0,1.6830345691507144e-05,4.874160217623809e-06,1.2780629312767858e-06,2.298256884040774e-05,71.36044281860813
b1,3.808714515928571e-05,4.852591230285715e-06,2.2578189918210318e-06,4.519755538139246e-05,71.0056186132133
b2,7.336943221855178e-05,5.053082159496428e-06,1.359898375258631e-06,7.978241275330685e-05,70.27926430013031
b3,0.00010552282689050477,5.209212753152381e-06,2.1549263259488095e-06,0.00011288696596960597,70.52549868985079
b4,0.0001280021475857143,5.614505397023809e-06,2.7548789697152777e-06,0.00013637153195245337,71.16571658244357
